id,name,region,terrain_id,flavour_text
22,Canadian Open,5,6,"A major tournament in Canada. Entry is open, and the winner earns the right to compete in the North American Grand Prix."
23,New York Cup,5,2,A tournament held in the bustling metropolis of New York. Only monsters from North America are eligible to enter.
24,Bermuda Trophy,5,2,A specialized tournament held in Bermuda. Only monsters considered scary-looking are allowed to enter.
25,South American GP,6,9,The most significant monster racing tournament in South America. A member of the Star Seven is defending champion.
26,Argentine Open,6,8,"A major tournament in Argentina. Entry is open, and the winner earns the right to compete in the South American Grand Prix."
27,Chile Cup,6,2,A tournament held in the mountainous terrain of Chile. Only monsters from South America are eligible to enter.
28,Bolivia Trophy,6,2,A specialized tournament held in Bolivia. Only monsters above a certain size are allowed to enter.
29,European GP,7,2,The largest and most important monster racing tournament in Europe. A member of the Star Seven is defending champion.
30,French Open,7,0,"A major tournament in France. Entry is open, and the winner earns the right to compete in the European Grand Prix."
31,Spain Cup,7,0,"A tournament held in the land of sunshine, Spain. Only monsters from Europe are eligible to enter."
32,Sweden Trophy,7,17,A specialized tournament held in Sweden. Only cool and good-looking monsters are allowed to enter.
33,Star Plains,0,0,A small flat region in the west of Star Island. It is inhabited by a wide variety of smaller low level monsters.
34,Star Caves,0,10,"A series of caves in the east of Star Island. Dark at all times of the day, it is known as a place of great mystery."
35,Ayers Rock,1,2,"One of the largest single rocks in the world. Also known as Uluru, some consider it the center of the earth."
36,Rainforest,1,9,An ancient area of bushland in the east of Australia. Many monsters live deep within the undergrowth.
37,Great Barrier Reef,1,8,"Stunningly beautiful, this is the world's largest coral reef. It has taken over two million years to grow to this size."
38,Fuji,2,4,"A vast forest extending at the foot of the famous Mt. Fuji. Once you enter, it is hard to find your way out again."
39,Guilin,2,2,"This area is famous for its magnificent scenery, similar to Chinese ink paintings with its mountains and rivers."
40,Taklamakan,2,7,"A vast dry desert in the middle of Asia. It almost never rains, and the mountains of sand seem to continue forever."
41,Oymyakon,3,11,Known as the coldest inhabited place in the world. The monsters here are used to living in freezing conditions.
42,Kamchatka,3,10,One of the world's most famous volcanic areas. The monsters here are able to handle extreme heat.
43,North Pole,3,11,The northern most point on the planet. The Arctic Ocean is so frozen over that the ice seems just like land.
44,Masai Mara,4,0,A vast African savanna.  It is bustling with a wide range of exotic wild monsters.
45,Bwindi,4,0,"A dark and mysterious jungle. Very few people venture inside, but those that do discover rare monsters."
46,Giza,4,7,"Home of the famous pyramids in Egypt. Situated in the middle of the desert, this city has great historical value."
47,Yellowstone,5,16,A national park in the United States of America. It is famous for its natural beauty and its powerful geysers.
48,Niagara,5,6,A massive waterfall on the border between Canada and the United States. Famous worldwide as a tourist spot.
49,Grand Canyon,5,2,A vast valley gouged out of rock by a river. You can see how the layers of rock have formed over the years.
50,Guyana,6,0,An area famous for the Angel Falls (the world's highest waterfall) and for its secluded hidden wilderness.
51,Amazon,6,9,"A vast jungle, spreading around the massive and thunderous Amazon River. Famous for its wildlife."
52,Machu Picchu,6,2,"The ruins of an ancient Incan civilization, perched atop a tall mountain. Many unsolved mysteries about it remain."
53,Matterhorn,7,15,"A steep and forbidding mountain in Europe. Its majestic cragginess has given it the name the ""Queen of the Alps""."
54,Stonehenge,7,14,A famously mysterious spot in England. No one knows for sure why these huge rocks were placed in this field.
55,Mt. Etna,7,10,"A legendary volcano, which has erupted now and again for thousands of years.  It is celebrated in legend."
56,Racers' Labyrinth,0,,
57,Aku's Grotto,0,10,
